mp_id,full_name,club,mandate_status,district_number,category,count,url
175,Tomasz Kostuś,KO,aktywny,21,Oświadczenia:,1,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=175&view=8
176,Andrzej Kosztowniak,PiS,aktywny,17,"Interpelacje, którym nadano bieg:",14,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=176&Typ=INT&Czyb=T
176,Andrzej Kosztowniak,PiS,aktywny,17,Pytania w sprawach bieżących:,3,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=176&Typ=PYT&Czyb=T
178,Paweł Kowal,KO,aktywny,23,Pytania w sprawach bieżących:,2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=178&Typ=PYT&Czyb=T
178,Paweł Kowal,KO,aktywny,23,Oświadczenia:,1,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=178&view=8
179,Henryk Kowalczyk,PiS,aktywny,18,Pytania w sprawach bieżących:,8,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=179&Typ=PYT&Czyb=T
180,Janusz Kowalski,PiS,aktywny,21,"Interpelacje, którym nadano bieg:",106,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=180&Typ=INT&Czyb=T
180,Janusz Kowalski,PiS,aktywny,21,"Zapytania, którym nadano bieg:",6,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=180&Typ=ZAP&Czyb=T
180,Janusz Kowalski,PiS,aktywny,21,Pytania w sprawach bieżących:,10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=180&Typ=PYT&Czyb=T
181,Bartosz Józef Kownacki,PiS,aktywny,4,"Interpelacje, którym nadano bieg:",125,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=181&Typ=INT&Czyb=T
181,Bartosz Józef Kownacki,PiS,aktywny,4,"Zapytania, którym nadano bieg:",21,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=181&Typ=ZAP&Czyb=T
181,Bartosz Józef Kownacki,PiS,aktywny,4,Pytania w sprawach bieżących:,10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=181&Typ=PYT&Czyb=T
182,Iwona Maria Kozłowska,KO,aktywny,4,"Interpelacje, którym nadano bieg:",166,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=182&Typ=INT&Czyb=T
182,Iwona Maria Kozłowska,KO,aktywny,4,"Zapytania, którym nadano bieg:",6,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=182&Typ=ZAP&Czyb=T
182,Iwona Maria Kozłowska,KO,aktywny,4,Pytania w sprawach bieżących:,20,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=182&Typ=PYT&Czyb=T
182,Iwona Maria Kozłowska,KO,aktywny,4,Oświadczenia:,8,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=182&view=8
183,Stefan Krajewski,PSL-TD,aktywny,24,"Interpelacje, którym nadano bieg:",4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=183&Typ=INT&Czyb=T
184,Wiesław Krajewski,PiS,aktywny,15,"Interpelacje, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=184&Typ=INT&Czyb=T
184,Wiesław Krajewski,PiS,aktywny,15,"Zapytania, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=184&Typ=ZAP&Czyb=T
184,Wiesław Krajewski,PiS,aktywny,15,Pytania w sprawach bieżących:,6,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=184&Typ=PYT&Czyb=T
185,Leonard Krasulski,PiS,aktywny,34,Pytania w sprawach bieżących:,4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=185&Typ=PYT&Czyb=T
186,Iwona Małgorzata Krawczyk,KO,aktywny,1,"Interpelacje, którym nadano bieg:",53,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=186&Typ=INT&Czyb=T
186,Iwona Małgorzata Krawczyk,KO,aktywny,1,"Zapytania, którym nadano bieg:",20,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=186&Typ=ZAP&Czyb=T
186,Iwona Małgorzata Krawczyk,KO,aktywny,1,Pytania w sprawach bieżących:,19,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=186&Typ=PYT&Czyb=T
186,Iwona Małgorzata Krawczyk,KO,aktywny,1,Oświadczenia:,16,https://www.sejm.gov.pl/sejm10.nsf/interpelacje.xsp?symbol=OSWIADCZENIA&id=186&view=8
187,Michał Krawczyk,KO,aktywny,6,"Interpelacje, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=187&Typ=INT&Czyb=T
187,Michał Krawczyk,KO,aktywny,6,Pytania w sprawach bieżących:,2,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=187&Typ=PYT&Czyb=T
189,Piotr Król,PiS,aktywny,4,"Interpelacje, którym nadano bieg:",31,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=189&Typ=INT&Czyb=T
189,Piotr Król,PiS,aktywny,4,"Zapytania, którym nadano bieg:",23,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=189&Typ=ZAP&Czyb=T
189,Piotr Król,PiS,aktywny,4,"Zapytania, którym nie nadano biegu:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=189&Typ=ZAP&Czyb=N
189,Piotr Król,PiS,aktywny,4,Pytania w sprawach bieżących:,4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=189&Typ=PYT&Czyb=T
190,Wojciech Król,KO,aktywny,31,"Interpelacje, którym nadano bieg:",36,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=190&Typ=INT&Czyb=T
190,Wojciech Król,KO,aktywny,31,"Interpelacje, którym nie nadano biegu:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=190&Typ=INT&Czyb=N
190,Wojciech Król,KO,aktywny,31,"Zapytania, którym nadano bieg:",9,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=190&Typ=ZAP&Czyb=T
190,Wojciech Król,KO,aktywny,31,Pytania w sprawach bieżących:,10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=190&Typ=PYT&Czyb=T
191,Anna Krupka,PiS,aktywny,33,"Interpelacje, którym nadano bieg:",10,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=191&Typ=INT&Czyb=T
191,Anna Krupka,PiS,aktywny,33,"Zapytania, którym nadano bieg:",1,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=191&Typ=ZAP&Czyb=T
191,Anna Krupka,PiS,aktywny,33,Pytania w sprawach bieżących:,4,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=POSELIZL&NrKadencji=10&Nrl=191&Typ=PYT&Czyb=T
