mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
007,Iwona Ewa Arent,PiS,aktywny,35,Delegacja Sejmu i Senatu do Zgromadzenia Parlamentarnego Rady Europy,18-01-2024,,zastępca przedstawiciela,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=64
007,Iwona Ewa Arent,PiS,aktywny,35,Polsko-Filipińska Grupa Parlamentarna,16-03-2025,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&493&PL
007,Iwona Ewa Arent,PiS,aktywny,35,Polsko-Litewska Grupa Parlamentarna,22-02-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&458&PL
007,Iwona Ewa Arent,PiS,aktywny,35,Polsko-Malezyjska Grupa Parlamentarna,25-07-2025,,wiceprzewodnicząca,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&536&PL
007,Iwona Ewa Arent,PiS,aktywny,35,Polsko-Marokańska Grupa Parlamentarna,28-06-2024,,wiceprzewodnicząca,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&518&PL
007,Iwona Ewa Arent,PiS,aktywny,35,Polsko-Palestyńska Grupa Parlamentarna,08-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&476&PL
007,Iwona Ewa Arent,PiS,aktywny,35,Polsko-Tunezyjska Grupa Parlamentarna,20-11-2024,,wiceprzewodnicząca,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&528&PL
007,Iwona Ewa Arent,PiS,aktywny,35,Zespół Parlamentarny Polska-USA,07-03-2024,,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&463&PL
008,Bartosz Arłukowicz,KO,wygasl,40,Delegacja Sejmu i Senatu RP do Zgromadzenia Parlamentarnego OBWE,25-01-2024,10-06-2024,zastępca przedstawiciela,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADDEL&NrKadencji=10&Deleg=81
008,Bartosz Arłukowicz,KO,wygasl,40,Polsko-Tajwański Zespół Parlamentarny,22-02-2024,10-06-2024,,https://www.sejm.gov.pl/SQL2.nsf/skladgr?OpenAgent&456&PL
