mp_id,full_name,club,mandate_status,district_number,label,count,url
028,Kamil Bortniczuk,PiS,aktywny,16,Wypowiedzi,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=028&type=P&symbol=WYPOWIEDZI_POSLA
029,Piotr Borys,KO,aktywny,1,Wypowiedzi łącznie,9,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=029&type=P&symbol=WYPOWIEDZI_POSLA
030,Bożena Borys-Szopa,PiS,aktywny,29,Wypowiedzi,10,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=030&type=P&symbol=WYPOWIEDZI_POSLA
031,Marcin Bosacki,KO,aktywny,39,Wypowiedzi,22,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=031&type=P&symbol=WYPOWIEDZI_POSLA
032,Karina Anna Bosak,Konfederacja,aktywny,20,Wypowiedzi,7,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=032&type=P&symbol=WYPOWIEDZI_POSLA
033,Krzysztof Bosak,Konfederacja,aktywny,24,Wypowiedzi,30,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=033&type=P&symbol=WYPOWIEDZI_POSLA
034,Grzegorz Braun,Konfederacja,wygasl,23,Wypowiedzi,182,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=034&type=P&symbol=WYPOWIEDZI_POSLA
035,Krzysztof Brejza,KO,wygasl,4,Wypowiedzi,5,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=035&type=P&symbol=WYPOWIEDZI_POSLA
036,Agnieszka Buczyńska,Polska2050-TD,aktywny,25,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=036&type=P&symbol=WYPOWIEDZI_POSLA
037,Waldemar Buda,PiS,wygasl,9,Wypowiedzi,24,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=037&type=P&symbol=WYPOWIEDZI_POSLA
038,Borys Budka,KO,wygasl,31,Wypowiedzi,8,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=038&type=P&symbol=WYPOWIEDZI_POSLA
039,Elżbieta Burkiewicz,Polska2050-TD,aktywny,23,Wypowiedzi łącznie,2,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=039&type=P&symbol=WYPOWIEDZI_POSLA
