mp_id,full_name,club,mandate_status,district_number,type,label,url
070,Robert Dowhan,KO,aktywny,8,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024070/$File/2024ryczalt_070.pdf?OpenElement
071,Przemysław Drabek,PiS,aktywny,27,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024071/$File/2024ryczalt_071.pdf?OpenElement
072,Elżbieta Duda,PiS,aktywny,13,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024072/$File/2024ryczalt_072.pdf?OpenElement
073,Michał Paweł Dworczyk,PiS,wygasl,2,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024073/$File/2024ryczalt_073.pdf?OpenElement
074,Adam Dziedzic,PSL-TD,aktywny,23,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024074/$File/2024ryczalt_074.pdf?OpenElement
075,Jan Michał Dziedziczak,PiS,aktywny,36,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024075/$File/2024ryczalt_075.pdf?OpenElement
076,Agnieszka Dziemianowicz-Bąk,Lewica,aktywny,26,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024076/$File/2024ryczalt_076.pdf?OpenElement
077,Magdalena Filiks,KO,aktywny,41,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024077/$File/2024ryczalt_077.pdf?OpenElement
078,Magdalena Filipek-Sobczak,PiS,aktywny,6,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024078/$File/2024ryczalt_078.pdf?OpenElement
079,Radosław Fogiel,PiS,aktywny,17,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024079/$File/2024ryczalt_079.pdf?OpenElement
080,Bronisław Foltyn,Konfederacja,aktywny,27,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024080/$File/2024ryczalt_080.pdf?OpenElement
081,Roman Fritz,Konfederacja_KP,aktywny,30,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024081/$File/2024ryczalt_081.pdf?OpenElement
082,Joanna Frydrych,KO,aktywny,22,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024082/$File/2024ryczalt_082.pdf?OpenElement
083,Konrad Frysztak,KO,aktywny,17,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024083/$File/2024ryczalt_083.pdf?OpenElement
084,Patryk Gabriel,KO,aktywny,25,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024084/$File/2024ryczalt_084.pdf?OpenElement
085,Krzysztof Gadowski,KO,aktywny,30,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024085/$File/2024ryczalt_085.pdf?OpenElement
086,Aleksandra Gajewska,KO,aktywny,19,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024086/$File/2024ryczalt_086.pdf?OpenElement
087,Kinga Gajewska,KO,aktywny,20,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024087/$File/2024ryczalt_087.pdf?OpenElement
087,Kinga Gajewska,KO,aktywny,20,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024087k/$File/2024ryczaltkor_087.pdf?OpenElement
088,Elżbieta Gapińska,KO,aktywny,16,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024088/$File/2024ryczalt_088.pdf?OpenElement
089,Kamila Gasiuk-Pihowicz,KO,wygasl,18,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024089/$File/2024ryczalt_089.pdf?OpenElement
090,Krzysztof Gawkowski,Lewica,aktywny,4,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024090/$File/2024ryczalt_090.pdf?OpenElement
091,Zdzisław Gawlik,KO,aktywny,23,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024091/$File/2024ryczalt_091.pdf?OpenElement
092,Andrzej Gawron,PiS,aktywny,28,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024092/$File/2024ryczalt_092.pdf?OpenElement
093,Grzegorz Gaża,PiS,aktywny,27,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024093/$File/2024ryczalt_093.pdf?OpenElement
094,Elżbieta Gelert,KO,aktywny,34,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024094/$File/2024ryczalt_094.pdf?OpenElement
095,Anna Gembicka,PiS,aktywny,5,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024095/$File/2024ryczalt_095.pdf?OpenElement
096,Artur Daniel Gierada,KO,aktywny,33,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024096/$File/2024ryczalt_096.pdf?OpenElement
097,Roman Giertych,KO,aktywny,33,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024097/$File/2024ryczalt_097.pdf?OpenElement
098,Włodzisław Giziński,KO,aktywny,4,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024098/$File/2024ryczalt_098.pdf?OpenElement
099,Szymon Giżyński,PiS,aktywny,28,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024099/$File/2024ryczalt_099.pdf?OpenElement
100,Piotr Gliński,PiS,aktywny,19,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024100/$File/2024ryczalt_100.pdf?OpenElement
101,Tomasz Głogowski,KO,aktywny,29,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024101/$File/2024ryczalt_101.pdf?OpenElement
102,Piotr Głowski,KO,aktywny,38,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024102/$File/2024ryczalt_102.pdf?OpenElement
103,Marta Golbik,KO,aktywny,29,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024103/$File/2024ryczalt_103.pdf?OpenElement
104,Małgorzata Golińska,PiS,aktywny,40,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024104/$File/2024ryczalt_104.pdf?OpenElement
105,Kazimierz Gołojuch,PiS,aktywny,23,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024105/$File/2024ryczalt_105.pdf?OpenElement
106,Adam Gomoła,niez.,aktywny,21,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024106/$File/2024ryczalt_106.pdf?OpenElement
106,Adam Gomoła,niez.,aktywny,21,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024106k/$File/2024ryczaltkor_106.pdf?OpenElement
107,Robert Gontarz,PiS,aktywny,34,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024107/$File/2024ryczalt_107.pdf?OpenElement
108,Stanisław Gorczyca,KO,aktywny,34,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024108/$File/2024ryczalt_108.pdf?OpenElement
109,Mariusz Gosek,PiS,aktywny,33,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024109/$File/2024ryczalt_109.pdf?OpenElement
110,Daria Gosek-Popiołek,Lewica,aktywny,13,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024110/$File/2024ryczalt_110.pdf?OpenElement
111,Małgorzata Gosiewska,PiS,wygasl,19,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024111/$File/2024ryczalt_111.pdf?OpenElement
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024112/$File/2024ryczalt_112.pdf?OpenElement
113,Agnieszka Górska,PiS,aktywny,17,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024113/$File/2024ryczalt_113.pdf?OpenElement
114,Krzysztof Grabczuk,KO,aktywny,7,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024114/$File/2024ryczalt_114.pdf?OpenElement
115,Jan Grabiec,KO,aktywny,20,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024115/$File/2024ryczalt_115.pdf?OpenElement
116,Marcin Grabowski,PiS,aktywny,18,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024116/$File/2024ryczalt_116.pdf?OpenElement
117,Michał Gramatyka,Polska2050-TD,aktywny,31,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024117/$File/2024ryczalt_117.pdf?OpenElement
118,Małgorzata Gromadzka,KO,aktywny,7,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024118/$File/2024ryczalt_118.pdf?OpenElement
118,Małgorzata Gromadzka,KO,aktywny,7,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024118k/$File/2024ryczaltkor_118.pdf?OpenElement
119,Marek Gróbarczyk,PiS,aktywny,41,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024119/$File/2024ryczalt_119.pdf?OpenElement
120,Andrzej Grzyb,PSL-TD,aktywny,36,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024120/$File/2024ryczalt_120.pdf?OpenElement
121,Andrzej Gut-Mostowy,PiS,aktywny,14,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024121/$File/2024ryczalt_121.pdf?OpenElement
121,Andrzej Gut-Mostowy,PiS,aktywny,14,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024121k/$File/2024ryczaltkor_121.pdf?OpenElement
122,Kazimierz Gwiazdowski,PiS,aktywny,24,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024122/$File/2024ryczalt_122.pdf?OpenElement
123,Marcin Gwóźdź,PiS,aktywny,2,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024123/$File/2024ryczalt_123.pdf?OpenElement
124,Marek Gzik,KO,aktywny,29,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024124/$File/2024ryczalt_124.pdf?OpenElement
125,Krzysztof Habura,KO,aktywny,11,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024125/$File/2024ryczalt_125.pdf?OpenElement
126,Agnieszka Hanajczyk,KO,aktywny,11,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024126/$File/2024ryczalt_126.pdf?OpenElement
127,Iwona Hartwich,KO,aktywny,5,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024127/$File/2024ryczalt_127.pdf?OpenElement
127,Iwona Hartwich,KO,aktywny,5,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024127k/$File/2024ryczaltkor_127.pdf?OpenElement
128,Paulina Hennig-Kloska,Polska2050-TD,aktywny,37,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024128/$File/2024ryczalt_128.pdf?OpenElement
129,Krzysztof Hetman,PSL-TD,wygasl,6,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024129/$File/2024ryczalt_129.pdf?OpenElement
130,Czesław Hoc,PiS,aktywny,40,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024130/$File/2024ryczalt_130.pdf?OpenElement
130,Czesław Hoc,PiS,aktywny,40,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024130k/$File/2024ryczaltkor_130.pdf?OpenElement
131,Zbigniew Hoffmann,PiS,aktywny,37,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024131/$File/2024ryczalt_131.pdf?OpenElement
132,Marek Tomasz Hok,KO,aktywny,40,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024132/$File/2024ryczalt_132.pdf?OpenElement
133,Szymon Hołownia,Polska2050-TD,aktywny,24,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024133/$File/2024ryczalt_133.pdf?OpenElement
134,Marcin Horała,PiS,aktywny,26,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024134/$File/2024ryczalt_134.pdf?OpenElement
135,Łukasz Horbatowski,KO,aktywny,1,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024135/$File/2024ryczalt_135.pdf?OpenElement
136,Paweł Hreniak,PiS,aktywny,3,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024136/$File/2024ryczalt_136.pdf?OpenElement
137,Paweł Jabłoński,PiS,aktywny,30,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024137/$File/2024ryczalt_137.pdf?OpenElement
138,Klaudia Jachira,KO,aktywny,19,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024138/$File/2024ryczalt_138.pdf?OpenElement
139,Marek Jakubiak,Republikanie,aktywny,19,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024139/$File/2024ryczalt_139.pdf?OpenElement
140,Maria Małgorzata Janyska,KO,aktywny,38,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024140/$File/2024ryczalt_140.pdf?OpenElement
141,Michał Jaros,KO,aktywny,3,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024141/$File/2024ryczalt_141.pdf?OpenElement
142,Patryk Jaskulski,KO,aktywny,41,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024142/$File/2024ryczalt_142.pdf?OpenElement
142,Patryk Jaskulski,KO,aktywny,41,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024142k/$File/2024ryczaltkor_142.pdf?OpenElement
143,Danuta Jazłowiecka,KO,aktywny,21,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024143/$File/2024ryczalt_143.pdf?OpenElement
144,Dariusz Joński,KO,wygasl,9,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024144/$File/2024ryczalt_144.pdf?OpenElement
145,Marcin Józefaciuk,KO,aktywny,9,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024145/$File/2024ryczalt_145.pdf?OpenElement
146,Norbert Jakub Kaczmarczyk,PiS,aktywny,15,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024146/$File/2024ryczalt_146.pdf?OpenElement
147,Filip Kaczyński,PiS,aktywny,12,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024147/$File/2024ryczalt_147.pdf?OpenElement
148,Jarosław Kaczyński,PiS,aktywny,33,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024148/$File/2024ryczalt_148.pdf?OpenElement
149,Piotr Kaleta,PiS,aktywny,36,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024149/$File/2024ryczalt_149.pdf?OpenElement
150,Sebastian Kaleta,PiS,aktywny,19,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024150/$File/2024ryczalt_150.pdf?OpenElement
151,Mariusz Kałużny,PiS,aktywny,5,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024151/$File/2024ryczalt_151.pdf?OpenElement
152,Mariusz Kamiński,PiS,wygasl,7,inne,Rozliczenie za okres sprawowania mandatu,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2023152/$File/2023ryczalt_152.pdf?OpenElement
153,Piotr Kandyba,KO,aktywny,20,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024153/$File/2024ryczalt_153.pdf?OpenElement
153,Piotr Kandyba,KO,aktywny,20,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024153k/$File/2024ryczaltkor_153.pdf?OpenElement
154,Jan Kanthak,PiS,aktywny,6,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024154/$File/2024ryczalt_154.pdf?OpenElement
154,Jan Kanthak,PiS,aktywny,6,korekta,Korekta za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024154k/$File/2024ryczaltkor_154.pdf?OpenElement
155,Fryderyk Sylwester Kapinos,PiS,aktywny,23,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024155/$File/2024ryczalt_155.pdf?OpenElement
156,Jacek Karnowski,KO,aktywny,25,sprawozdanie,Sprawozdanie za 2023/2024 rok,http://orka.sejm.gov.pl/rozlicz10.nsf/lista/2024156/$File/2024ryczalt_156.pdf?OpenElement
