mp_id,full_name,club,mandate_status,district_number,body_name,from_date,to_date,role,url
107,Robert Gontarz,PiS,aktywny,34,Komisja do Spraw Deregulacji,20-03-2025,20-03-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=DER
107,Robert Gontarz,PiS,aktywny,34,Komisja Nadzwyczajna do spraw ochrony zwierząt,09-05-2025,26-09-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMND&NrKadencji=10&KodKom=NOZ
108,Stanisław Gorczyca,KO,aktywny,34,Komisja do Spraw Petycji,21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=PET
108,Stanisław Gorczyca,KO,aktywny,34,"Komisja Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa",21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=OSZ
108,Stanisław Gorczyca,KO,aktywny,34,Podkomisja nadzwyczajna do rozpatrzenia poselskiego projektu ustawy o zmianie ustawy - Prawo łowieckie (druk nr 828),19-03-2025,,przewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OSZ02N
109,Mariusz Gosek,PiS,aktywny,33,Komisja Administracji i Spraw Wewnętrznych,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=ASW
109,Mariusz Gosek,PiS,aktywny,33,Komisja do Spraw Kontroli Państwowej,21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KOP
109,Mariusz Gosek,PiS,aktywny,33,Komisja Sprawiedliwości i Praw Człowieka,19-12-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=SPC
109,Mariusz Gosek,PiS,aktywny,33,"Komisja Śledcza do zbadania legalności, prawidłowości oraz celowości czynności operacyjno-rozpoznawczych podejmowanych m.in. z wykorzystaniem oprogramowania Pegasus przez członków Rady Ministrów, służby specjalne, Policję, organy kontroli skarbowej oraz celno-skarbowej, organy powołane do ścigania przestępstw i prokuraturę w okresie od dnia 16 listopada 2015 r. do dnia 20 listopada 2023 r.",26-01-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMSL&NrKadencji=10&KodKom=SKPG
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Komisja Gospodarki Morskiej i Żeglugi Śródlądowej,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=GMZ
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Podkomisja stała do spraw żeglugi śródlądowej,07-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=GMZ01S
110,Daria Gosek-Popiołek,Lewica,aktywny,13,"Komisja Kultury, Dziedzictwa Narodowego i Środków Przekazu",21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KSP
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Podkomisja stała do spraw czytelnictwa i prawa autorskiego,08-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=KSP02S
110,Daria Gosek-Popiołek,Lewica,aktywny,13,"Komisja Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa",21-11-2023,,zastępca przewodniczącego,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=OSZ
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Podkomisja stała do spraw monitorowania ustawodawstwa w zakresie zarządzania zasobami przyrodniczymi,06-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OSZ02S
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Podkomisja stała do spraw wypracowania nowej krajowej strategii leśnej,06-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OSZ04S
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Podkomisja nadzwyczajna do rozpatrzenia rządowego projektu ustawy o zmianie ustawy o gospodarce opakowaniami i odpadami opakowaniowymi oraz niektórych innych ustaw (druk nr 760),08-11-2024,20-11-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OSZ01N
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Podkomisja nadzwyczajna do rozpatrzenia poselskiego projektu ustawy o zmianie ustawy - Prawo łowieckie (druk nr 828),19-03-2025,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=OSZ02N
110,Daria Gosek-Popiołek,Lewica,aktywny,13,Komisja Nadzwyczajna do rozpatrzenia projektów ustaw dotyczących rynku pracy oraz cudzoziemców przebywających na terytorium Rzeczypospolitej Polskiej,24-01-2025,08-05-2025,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMND&NrKadencji=10&KodKom=NZC
111,Małgorzata Gosiewska,PiS,wygasl,19,Komisja do Spraw Unii Europejskiej,21-11-2023,10-06-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=SUE
111,Małgorzata Gosiewska,PiS,wygasl,19,Komisja Łączności z Polakami za Granicą,21-11-2023,10-06-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=LPG
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Komisja Administracji i Spraw Wewnętrznych,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=ASW
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Podkomisja stała do spraw funkcjonowania zarządzania kryzysowego,06-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=ASW02S
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Komisja Obrony Narodowej,21-11-2023,08-11-2024,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=OBN
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,"Komisja Kultury Fizycznej, Sportu i Turystyki",08-02-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=KFS
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Podkomisja stała do spraw turystyki,20-03-2024,,przewodniczący,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=KFS01S
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Podkomisja stała do spraw sportu dzieci i młodzieży oraz sportu osób z niepełnosprawnościami,20-03-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADPODKOMST&NrKadencji=10&KodPodKom=KFS02S
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,Komisja Finansów Publicznych,08-11-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=FPB
113,Agnieszka Górska,PiS,aktywny,17,Komisja Łączności z Polakami za Granicą,21-11-2023,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=LPG
113,Agnieszka Górska,PiS,aktywny,17,Komisja Nadzwyczajna do rozpatrzenia projektów ustaw dotyczących prawa do przerywania ciąży,12-04-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMND&NrKadencji=10&KodKom=NPC
113,Agnieszka Górska,PiS,aktywny,17,"Komisja Ochrony Środowiska, Zasobów Naturalnych i Leśnictwa",15-05-2024,,,https://www.sejm.gov.pl/sejm10.nsf/agent.xsp?symbol=SKLADKOMST&NrKadencji=10&KodKom=OSZ
