mp_id,full_name,club,mandate_status,district_number,data,url
084,Patryk Gabriel,KO,aktywny,25,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/8723BA5BEAFEE169C1258A9F0040F847/%24File/RK10.084.01.pdf
085,Krzysztof Gadowski,KO,aktywny,30,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/BA7238C9199E5769C1258A9F0040F854/%24File/RK10.085.01.pdf
086,Aleksandra Gajewska,KO,aktywny,19,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/0A0C815B7755307EC1258A9F0040F860/%24File/RK10.086.01.pdf
087,Kinga Gajewska,KO,aktywny,20,2024-10-08,https://orka.sejm.gov.pl/rkor10.nsf/0/BEEFE60F7592687AC1258BB000360FDA/%24File/RK10.087.01.pdf
088,Elżbieta Gapińska,KO,aktywny,16,,
089,Kamila Gasiuk-Pihowicz,KO,wygasl,18,2024-01-11,https://orka.sejm.gov.pl/rkor10.nsf/0/51B53A721CA393AAC1258AA1003C2DDB/%24File/RK10.089.01.pdf
090,Krzysztof Gawkowski,Lewica,aktywny,4,2023-12-01,https://orka.sejm.gov.pl/rkor10.nsf/0/786FE3879A60612CC1258A78003A325F/%24File/RK10.090.01.pdf
090,Krzysztof Gawkowski,Lewica,aktywny,4,2024-10-18,https://orka.sejm.gov.pl/rkor10.nsf/0/1339521393C3AF51C1258BBA004AFAED/%24File/RK10.090.02.pdf
090,Krzysztof Gawkowski,Lewica,aktywny,4,2024-11-14,https://orka.sejm.gov.pl/rkor10.nsf/0/0D5462E714748039C1258BD5003A7D4A/%24File/RK10.090.03.pdf
090,Krzysztof Gawkowski,Lewica,aktywny,4,2024-12-23,https://orka.sejm.gov.pl/rkor10.nsf/0/13D4C5B08CF37DE7C1258BFC004787FE/%24File/RK10.090.04.pdf
090,Krzysztof Gawkowski,Lewica,aktywny,4,2025-01-29,https://orka.sejm.gov.pl/rkor10.nsf/0/90C792895B5022C6C1258C21003CF4C2/%24File/RK10.090.05.pdf
090,Krzysztof Gawkowski,Lewica,aktywny,4,2025-10-08,https://orka.sejm.gov.pl/rkor10.nsf/0/3757F62E8CA366F1C1258D1D00343590/%24File/RK10.090.06-h.pdf
091,Zdzisław Gawlik,KO,aktywny,23,,
092,Andrzej Gawron,PiS,aktywny,28,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/4EF6D4A892FD46CEC1258A9F0040F86C/%24File/RK10.092.01.pdf
093,Grzegorz Gaża,PiS,aktywny,27,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/B6B583EB3211C18BC1258A9F0040F877/%24File/RK10.093.01.pdf
094,Elżbieta Gelert,KO,aktywny,34,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/FF952C375C0E5E46C1258A9F0040F883/%24File/RK10.094.01.pdf
095,Anna Gembicka,PiS,aktywny,5,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/A3DE71C9C7A08CEFC1258A9F0040F88F/%24File/RK10.095.01.pdf
095,Anna Gembicka,PiS,aktywny,5,2025-05-05,https://orka.sejm.gov.pl/rkor10.nsf/0/5A1F7C06096BF2EFC1258C8100350D0F/%24File/RK10.095.02.pdf
096,Artur Daniel Gierada,KO,aktywny,33,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/953AB902F3D3B0EEC1258A9F0040F89C/%24File/RK10.096.01.pdf
097,Roman Giertych,KO,aktywny,33,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/5FEDA3B6B550C35EC1258A9F0040F8A8/%24File/RK10.097.01.pdf
098,Włodzisław Giziński,KO,aktywny,4,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/5D28456EF9EFE703C1258A9F0040F8B5/%24File/RK10.098.01.pdf
099,Szymon Giżyński,PiS,aktywny,28,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/054FEF129EF4A925C1258A9F0040F8C1/%24File/RK10.099.01.pdf
100,Piotr Gliński,PiS,aktywny,19,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/B9D5FBEE0CFBC9D5C1258A9F0040F8CD/%24File/RK10.100.01.pdf
101,Tomasz Głogowski,KO,aktywny,29,,
102,Piotr Głowski,KO,aktywny,38,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/AA4663A367A97DB5C1258A9F0040F8DB/%24File/RK10.102.01.pdf
103,Marta Golbik,KO,aktywny,29,2024-12-19,https://orka.sejm.gov.pl/rkor10.nsf/0/DF14FF168DD3CDE1C1258BF800396167/%24File/RK10.103.01.pdf
104,Małgorzata Golińska,PiS,aktywny,40,,
105,Kazimierz Gołojuch,PiS,aktywny,23,,
106,Adam Gomoła,niez.,aktywny,21,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/D291D1509DE22CDAC1258A9F0040F8F2/%24File/RK10.106.01.pdf
106,Adam Gomoła,niez.,aktywny,21,2024-04-29,https://orka.sejm.gov.pl/rkor10.nsf/0/3FF562CD21C88BC5C1258B0E0034C5C6/%24File/RK10.106.02.pdf
107,Robert Gontarz,PiS,aktywny,34,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/FE74E6E4C1EFF123C1258A9F0040F8FF/%24File/RK10.107.01.pdf
108,Stanisław Gorczyca,KO,aktywny,34,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/7968ED64ECB5FE9BC1258A9F0040F90C/%24File/RK10.108.01.pdf
109,Mariusz Gosek,PiS,aktywny,33,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/DE176BD458C370FAC1258A9F0040F917/%24File/RK10.109.01.pdf
110,Daria Gosek-Popiołek,Lewica,aktywny,13,,
111,Małgorzata Gosiewska,PiS,wygasl,19,,
112,Piotr Górnikiewicz,Polska2050-TD,aktywny,15,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/AD3F660C1385C91DC1258A9F0040F956/%24File/RK10.112.01.pdf
113,Agnieszka Górska,PiS,aktywny,17,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/C35B602D7A917C73C1258A9F0040F960/%24File/RK10.113.01.pdf
114,Krzysztof Grabczuk,KO,aktywny,7,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/A53DCF52A1D44229C1258A9F0040F96B/%24File/RK10.114.01.pdf
115,Jan Grabiec,KO,aktywny,20,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/87F9A4179879DB1BC1258A9F0040F978/%24File/RK10.115.01.pdf
116,Marcin Grabowski,PiS,aktywny,18,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/320E7EF6BD8FC875C1258A9F0040F985/%24File/RK10.116.01.pdf
117,Michał Gramatyka,Polska2050-TD,aktywny,31,,
118,Małgorzata Gromadzka,KO,aktywny,7,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/07A494EDD363B339C1258A9F0040F995/%24File/RK10.118.01.pdf
118,Małgorzata Gromadzka,KO,aktywny,7,2024-11-06,https://orka.sejm.gov.pl/rkor10.nsf/0/C4CEBD98FE0BA55CC1258BCD004C198E/%24File/RK10.118.02.pdf
118,Małgorzata Gromadzka,KO,aktywny,7,2025-05-12,https://orka.sejm.gov.pl/rkor10.nsf/0/ABAD8B4A112C0965C1258C88003860C8/%24File/RK10.118.03.pdf
119,Marek Gróbarczyk,PiS,aktywny,41,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/76B7DF1FB120FD60C1258A9F0040F9A1/%24File/RK10.119.01.pdf
120,Andrzej Grzyb,PSL-TD,aktywny,36,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/179B0AEFE1EAFA64C1258A9F0040F9AD/%24File/RK10.120.01.pdf
121,Andrzej Gut-Mostowy,PiS,aktywny,14,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/492B5F77F015E8A1C1258A9F0040F9B8/%24File/RK10.121.01.pdf
122,Kazimierz Gwiazdowski,PiS,aktywny,24,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/42F94EC55EA7C399C1258A9F0040F9C5/%24File/RK10.122.01.pdf
123,Marcin Gwóźdź,PiS,aktywny,2,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/310532875DA90E19C1258A9F0040F9D1/%24File/RK10.123.01.pdf
124,Marek Gzik,KO,aktywny,29,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/08678F48745BA6AAC1258A9F0040F9DE/%24File/RK10.124.01.pdf
125,Krzysztof Habura,KO,aktywny,11,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/BC36274B793C4342C1258A9F0040F9EB/%24File/RK10.125.01.pdf
126,Agnieszka Hanajczyk,KO,aktywny,11,,
127,Iwona Hartwich,KO,aktywny,5,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/FABE61C74A7C472DC1258A9F0040FA00/%24File/RK10.127.01.pdf
128,Paulina Hennig-Kloska,Polska2050-TD,aktywny,37,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/72D1F3FF5EE37C24C1258A9F0040FA0E/%24File/RK10.128.01.pdf
128,Paulina Hennig-Kloska,Polska2050-TD,aktywny,37,2024-04-29,https://orka.sejm.gov.pl/rkor10.nsf/0/7866C80FDAA1077EC1258B0E0034C5D1/%24File/RK10.128.02.pdf
129,Krzysztof Hetman,PSL-TD,wygasl,6,,
130,Czesław Hoc,PiS,aktywny,40,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/8A20B42DC49E76C0C1258A9F0040FA20/%24File/RK10.130.01.pdf
131,Zbigniew Hoffmann,PiS,aktywny,37,,
132,Marek Tomasz Hok,KO,aktywny,40,,
133,Szymon Hołownia,Polska2050-TD,aktywny,24,2024-04-12,https://orka.sejm.gov.pl/rkor10.nsf/0/48B6583505095A83C1258AFD0033470B/%24File/RK10.133.01.pdf
134,Marcin Horała,PiS,aktywny,26,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/60D0539D1A49E8E8C1258A9F0040FA2B/%24File/RK10.134.01.pdf
134,Marcin Horała,PiS,aktywny,26,2025-04-24,https://orka.sejm.gov.pl/rkor10.nsf/0/7D6F4B29EA1CCA4CC1258C76003188C6/%24File/RK10.134.02.pdf
135,Łukasz Horbatowski,KO,aktywny,1,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/B6E8ABF4757E1B62C1258A9F0040FA38/%24File/RK10.135.01.pdf
135,Łukasz Horbatowski,KO,aktywny,1,2025-07-23,https://orka.sejm.gov.pl/rkor10.nsf/0/7D175906CEA5A641C1258CD000528F12/%24File/RK10.135.02.pdf
136,Paweł Hreniak,PiS,aktywny,3,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/DFE842E235884534C1258A9F0040FA42/%24File/RK10.136.01.pdf
137,Paweł Jabłoński,PiS,aktywny,30,2025-01-08,https://orka.sejm.gov.pl/rkor10.nsf/0/6ACAF0A57FC97C4FC1258C0C0041DC16/%24File/RK10.137.01.pdf
138,Klaudia Jachira,KO,aktywny,19,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/0806B943F9AAB489C1258A9F0040FA4D/%24File/RK10.138.01.pdf
138,Klaudia Jachira,KO,aktywny,19,2025-10-09,https://orka.sejm.gov.pl/rkor10.nsf/0/CE582A891EA5723FC1258D1E0037012B/%24File/RK10.138.02.pdf
139,Marek Jakubiak,Republikanie,aktywny,19,,
140,Maria Małgorzata Janyska,KO,aktywny,38,,
141,Michał Jaros,KO,aktywny,3,2024-02-13,https://orka.sejm.gov.pl/rkor10.nsf/0/3A9B1C03FECC9915C1258AC200396E91/%24File/RK10.141.01.pdf
142,Patryk Jaskulski,KO,aktywny,41,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/E4838D6DEA40563EC1258A9F0040FA58/%24File/RK10.142.01.pdf
143,Danuta Jazłowiecka,KO,aktywny,21,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/EB5F6E13A1C3F77AC1258A9F0040FA65/%24File/RK10.143.01.pdf
144,Dariusz Joński,KO,wygasl,9,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/7B443DC7EBE38FEAC1258A9F0040FA72/%24File/RK10.144.01.pdf
145,Marcin Józefaciuk,KO,aktywny,9,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/08E4C43BEE5CF03EC1258A9F0040FA7E/%24File/RK10.145.01.pdf
146,Norbert Jakub Kaczmarczyk,PiS,aktywny,15,2024-01-09,https://orka.sejm.gov.pl/rkor10.nsf/0/F66085E9426ABA89C1258A9F0040FA89/%24File/RK10.146.01.pdf
146,Norbert Jakub Kaczmarczyk,PiS,aktywny,15,2024-04-09,https://orka.sejm.gov.pl/rkor10.nsf/0/48C1AABAA148D07CC1258AFA00441D9D/%24File/RK10.146.02.pdf
