mp_id,full_name,club,mandate_status,district_number,present_votes,total_votes,participation,details_url
226,Antoni Macierewicz,PiS,aktywny,10,2426,2586,93.81%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=226
227,Marlena Magdalena Maląg,PiS,wygasl,36,397,446,89.01%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=227
228,Ewa Malik,PiS,aktywny,32,1968,2586,76.10%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=228
229,Mirosław Maliszewski,PSL-TD,aktywny,17,2307,2586,89.21%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=229
230,Maciej Małecki,PiS,aktywny,16,2443,2586,94.47%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=230
231,Arkadiusz Marchewka,KO,aktywny,41,2547,2586,98.49%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=231
232,Jagna Marczułajtis-Walczak,KO,wygasl,13,437,446,97.98%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=232
233,Dorota Marek,KO,aktywny,13,2578,2586,99.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=233
234,Dariusz Matecki,PiS,aktywny,41,1966,2586,76.02%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=234
235,Jerzy Materna,PiS,aktywny,8,2492,2586,96.37%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=235
236,Grzegorz Matusiak,PiS,aktywny,30,2277,2586,88.05%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=236
237,Katarzyna Matusik-Lipiec,KO,aktywny,13,2553,2586,98.72%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=237
238,Marek Matuszewski,PiS,aktywny,11,2537,2586,98.11%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=238
239,Paulina Matysiak,Razem,aktywny,11,2515,2586,97.25%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=239
240,Łukasz Mejza,PiS,aktywny,8,2060,2586,79.66%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=240
241,Sławomir Mentzen,Konfederacja,aktywny,19,1450,2586,56.07%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=241
242,Anna Milczanowska,PiS,aktywny,10,2341,2586,90.53%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=242
243,Daniel Milewski,PiS,aktywny,18,2209,2586,85.42%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=243
244,Rajmund Miller,KO,wygasl,21,204,287,71.08%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=244
245,Aleksander Miszalski,KO,wygasl,13,325,330,98.48%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=245
246,Mateusz Morawiecki,PiS,aktywny,31,1887,2586,72.97%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=246
247,Jan Mosiński,PiS,aktywny,36,2226,2586,86.08%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=247
248,Michał Moskal,PiS,aktywny,6,2375,2586,91.84%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=248
249,Czesław Mroczek,KO,aktywny,18,2564,2586,99.15%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=249
250,Aleksander Mikołaj Mrówczyński,PiS,aktywny,26,1510,2586,58.39%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=250
251,Izabela Katarzyna Mrzygłocka,KO,wygasl,2,482,701,68.76%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=251
252,Joanna Mucha,Polska2050-TD,aktywny,6,2394,2586,92.58%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=252
253,Arkadiusz Mularczyk,PiS,wygasl,14,400,446,89.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=253
254,Krzysztof Mulawa,Konfederacja,aktywny,18,2434,2586,94.12%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=254
255,Piotr Müller,PiS,wygasl,26,427,446,95.74%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=255
256,Arkadiusz Myrcha,KO,aktywny,5,2554,2586,98.76%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=256
257,Grzegorz Napieralski,KO,aktywny,41,2530,2586,97.83%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=257
258,Dorota Niedziela,KO,aktywny,12,2498,2586,96.60%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=258
259,Jacek Niedźwiedzki,KO,aktywny,24,2577,2586,99.65%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=259
